ticker,feature,psi
PVRINOX.NS,ret_10,0.1356
ARVIND.NS,rsi,0.0669
ARVIND.NS,atr,16.0522
ARVIND.NS,ema_20,19.8708
ARVIND.NS,ema_50,19.7017
ARVIND.NS,ema_200,22.828
ARVIND.NS,ret_1,0.0159
ARVIND.NS,ret_5,0.0857
ARVIND.NS,ret_10,0.1733
LUPIN.NS,rsi,0.9438
LUPIN.NS,atr,8.8026
LUPIN.NS,ema_20,12.4885
LUPIN.NS,ema_50,12.3044
LUPIN.NS,ema_200,12.0915
LUPIN.NS,ret_1,0.0341
LUPIN.NS,ret_5,0.1409
LUPIN.NS,ret_10,0.2455
NAVINFLUOR.NS,rsi,0.138
NAVINFLUOR.NS,atr,0.8809
NAVINFLUOR.NS,ema_20,5.1889
NAVINFLUOR.NS,ema_50,8.1196
NAVINFLUOR.NS,ema_200,11.7332
NAVINFLUOR.NS,ret_1,0.0847
NAVINFLUOR.NS,ret_5,0.1164
NAVINFLUOR.NS,ret_10,0.1014
MRF.NS,rsi,0.2091
MRF.NS,atr,1.0247
MRF.NS,ema_20,26.853
MRF.NS,ema_50,29.9462
MRF.NS,ema_200,30.2741
MRF.NS,ret_1,0.0708
MRF.NS,ret_5,0.1477
MRF.NS,ret_10,0.1367
GODREJPROP.NS,rsi,0.0768
GODREJPROP.NS,atr,0.8782
GODREJPROP.NS,ema_20,5.6321
GODREJPROP.NS,ema_50,8.7189
GODREJPROP.NS,ema_200,15.2271
GODREJPROP.NS,ret_1,0.02
GODREJPROP.NS,ret_5,0.0481
GODREJPROP.NS,ret_10,0.0471
MARICO.NS,rsi,0.032
MARICO.NS,atr,4.3262
MARICO.NS,ema_20,12.3461
MARICO.NS,ema_50,12.5604
MARICO.NS,ema_200,23.0736
MARICO.NS,ret_1,0.0137
MARICO.NS,ret_5,0.0201
MARICO.NS,ret_10,0.0168
MPHASIS.NS,rsi,0.0347
MPHASIS.NS,atr,1.4868
MPHASIS.NS,ema_20,8.7026
MPHASIS.NS,ema_50,8.3038
MPHASIS.NS,ema_200,4.6638
MPHASIS.NS,ret_1,0.0404
MPHASIS.NS,ret_5,0.031
MPHASIS.NS,ret_10,0.0397
ALKEM.NS,rsi,0.1465
ALKEM.NS,atr,8.6254
ALKEM.NS,ema_20,19.4775
ALKEM.NS,ema_50,19.4176
