ticker,last_date,model_date,close,proba_up,calibrated,calibration_method,threshold,trend_ok,signal,stop_loss,take_profit,atr,rsi,avg_volume_20,sector,industry,rr,breakout_ok,vol_spike,pullback_ok,mtf_trend_ok,atr_close_ratio,gap_ok,regime_ok,recommended_product,recommended_reason
BAJAJ-AUTO.NS,2025-09-12,2025-09-12,8999.5,0.582,True,isotonic,0.55,True,BUY,8801.03,9297.21,198.471,56.315,516897,Consumer Cyclical,Auto Manufacturers,1.5,False,False,True,True,0.0221,True,True,MIS,low confidence
PIIND.NS,2025-09-12,2025-09-12,3701.0,0.579,True,isotonic,0.65,False,HOLD,,,81.294,39.598,143229,Basic Materials,Agricultural Inputs,,False,False,False,False,0.022,True,True,,
ASIANPAINT.NS,2025-09-12,2025-09-12,2546.3,0.526,True,isotonic,0.55,True,HOLD,,,40.177,55.837,1175652,Basic Materials,Specialty Chemicals,,False,False,True,True,0.0158,True,True,,
BAJAJFINSV.NS,2025-09-12,2025-09-12,2081.5,0.4,True,isotonic,0.55,True,HOLD,,,32.188,71.784,1094657,Financial Services,Financial Conglomerates,,True,True,False,True,0.0155,True,True,,
POLYCAB.NS,2025-09-12,2025-09-12,7254.5,0.0,True,isotonic,0.49,True,HOLD,,,122.899,61.831,191354,Industrials,Electrical Equipment & Parts,,False,False,False,True,0.0169,True,True,,
EICHERMOT.NS,2025-09-12,2025-09-12,6875.0,0.477,True,isotonic,0.55,True,HOLD,,,136.847,81.907,739983,Consumer Cyclical,Auto Manufacturers,,False,False,False,True,0.0199,True,True,,
NMDC.NS,2025-09-12,2025-09-12,76.47,0.605,True,isotonic,0.69,True,HOLD,,,1.525,69.05,19945334,Basic Materials,Steel,,False,True,False,True,0.0199,True,True,,
SUNPHARMA.NS,2025-09-12,2025-09-12,1616.6,0.739,True,isotonic,0.55,False,HOLD,,,26.567,51.423,2676338,Healthcare,Drug Manufacturers - Specialty & Generic,,False,False,False,False,0.0164,True,True,,
NEWGEN.NS,2025-09-12,2025-09-12,887.5,0.413,True,isotonic,0.51,False,SELL,915.59,845.36,28.09,46.085,843746,Technology,Software - Infrastructure,1.5,False,False,False,False,0.0317,True,True,,
BHARATFORG.NS,2025-09-12,2025-09-12,1223.0,0.449,True,isotonic,0.6,False,HOLD,,,32.521,62.342,1117826,Consumer Cyclical,Auto Parts,,False,False,False,False,0.0266,True,True,,
CONCOR.NS,2025-09-12,2025-09-12,550.05,0.688,True,isotonic,0.63,False,HOLD,,,10.324,49.362,858022,Industrials,Railroads,,False,True,False,False,0.0188,True,True,,
ADANIENT.NS,2025-09-12,2025-09-12,2392.0,0.514,True,isotonic,0.55,False,HOLD,,,49.177,58.028,665859,Energy,Thermal Coal,,False,False,False,False,0.0206,True,True,,
TCS.NS,2025-09-12,2025-09-12,3133.4,0.403,True,isotonic,0.55,False,SELL,3179.83,3063.76,46.43,54.756,2507620,Technology,Information Technology Services,1.5,False,False,False,False,0.0148,True,True,,
BALKRISIND.NS,2025-09-12,2025-09-12,2388.7,0.576,True,isotonic,0.55,False,HOLD,,,63.431,48.516,210269,Consumer Cyclical,Auto Parts,,False,False,False,False,0.0266,True,True,,
METROPOLIS.NS,2025-09-12,2025-09-12,2063.0,0.505,True,isotonic,0.65,True,HOLD,,,72.632,42.875,44693,Healthcare,Diagnostics & Research,,False,True,False,True,0.0352,True,True,,
PHOENIXLTD.NS,2025-09-12,2025-09-12,1560.1,0.238,True,isotonic,0.46,True,HOLD,,,39.292,56.627,807643,Real Estate,Real Estate - Diversified,,False,False,False,False,0.0252,True,True,,
TATACONSUM.NS,2025-09-12,2025-09-12,1103.9,0.522,True,isotonic,0.55,True,HOLD,,,20.766,58.804,949846,Consumer Defensive,Packaged Foods,,False,False,False,True,0.0188,True,True,,
HINDALCO.NS,2025-09-12,2025-09-12,758.05,0.531,True,isotonic,0.55,True,HOLD,,,12.771,71.861,4532674,Basic Materials,Aluminum,,True,False,False,True,0.0168,True,True,,
JSWSTEEL.NS,2025-09-12,2025-09-12,1099.0,0.559,True,isotonic,0.55,True,HOLD,1080.11,1127.33,18.887,64.863,1518205,Basic Materials,Steel,1.5,False,False,False,True,0.0172,True,True,,
DRREDDY.NS,2025-09-12,2025-09-12,1316.7,0.493,True,isotonic,0.55,True,HOLD,,,24.4,63.544,1354534,Healthcare,Drug Manufacturers - Specialty & Generic,,True,False,False,True,0.0185,True,True,,
TATAMOTORS.NS,2025-09-12,2025-09-12,715.25,0.521,True,isotonic,0.55,True,HOLD,,,14.39,61.776,9299363,Consumer Cyclical,Auto Manufacturers,,False,False,False,False,0.0201,True,True,,
